Date,Year,Pass,Site,FishNo,Species,Length,Weight,ScaleAge
10/11/13,2013,2,L17,1,RB,346,NA,6
10/18/13,2013,0,L32,1,RB,348,441,3
10/12/13,2013,2,L27,3,RB,383,629,3
10/8/13,2013,1,L02,11,RB,373,549,4
10/16/13,2013,3,L02,2,RB,372,535,4
10/11/13,2013,2,L05,1,RB,380,NA,4
10/12/13,2013,2,L22,4,RB,381,573,3
10/12/13,2013,2,L10,2,RB,407,733,4
10/20/13,2013,4,L15,2,RB,363,535,3
10/24/13,2013,5,L19,1,RB,348,451,3
10/12/13,2013,2,L26,1,RB,412,671,6
10/23/13,2013,5,L17,1,RB,369,608,3
10/20/13,2013,4,L22,2,RB,381,560,4
10/8/13,2013,1,L03,3,RB,390,763,3
10/12/13,2013,2,L11,3,RB,360,555,4
10/7/13,2013,1,L08,6,RB,363,502,4
10/12/13,2013,2,L15,3,RB,393,665,5
10/11/13,2013,2,L16,5,RB,395,NA,5
10/12/13,2013,2,L07,2,RB,392,730,3
10/8/13,2013,1,L10,10,RB,329,395,2
10/12/13,2013,2,L22,5,RB,362,447,2
10/8/13,2013,1,L23,11,RB,395,658,5
10/8/13,2013,1,L27,19,RB,307,342,2
10/12/13,2013,2,L27,5,RB,307,323,2
10/11/13,2013,2,L28,1,RB,320,380,2
10/7/13,2013,1,L28,7,RB,323,380,2
10/16/13,2013,3,L27,2,RB,343,478,3
10/19/13,2013,4,L08,1,RB,376,551,4
10/16/13,2013,3,L02,1,RB,357,448,2
10/11/13,2013,2,L04,3,RB,364,564,3
10/19/13,2013,4,L13,1,RB,346,431,2
10/17/13,2013,0,L34,2,RB,325,416,2
10/18/13,2013,0,L49,2,RB,397,707,4
10/17/13,2013,0,L34,1,RB,319,342,2
10/17/13,2013,0,L31,1,RB,350,367,3
10/15/13,2013,3,L05,1,RB,310,312,2
10/15/13,2013,3,L08,2,RB,394,629,4
10/11/13,2013,2,L09,1,RB,310,NA,2
10/7/13,2013,1,L09,3,RB,290,265,2
10/24/13,2013,5,L15,3,RB,338,444,4
10/24/13,2013,5,L15,2,RB,340,432,2
10/23/13,2013,5,L20,1,RB,437,786,6
10/15/13,2013,3,L20,4,RB,439,771,6
10/19/13,2013,4,L24,1,RB,282,271,2
10/8/13,2013,1,L22,7,RB,334,446,2
10/8/13,2013,1,L26,8,RB,414,810,4
10/11/13,2013,2,L25,1,RB,415,NA,4
10/23/13,2013,5,L25,1,RB,384,451,4
10/7/13,2013,1,L28,5,RB,379,665,4
10/16/13,2013,3,L02,3,RB,357,469,3
10/8/13,2013,1,L03,4,RB,354,485,3
10/8/13,2013,1,L06,5,RB,365,491,4
10/12/13,2013,2,L10,3,RB,296,330,2
10/15/13,2013,3,L12,5,RB,392,490,4
10/24/13,2013,5,L11,5,RB,337,428,2
10/7/13,2013,1,L12,7,RB,363,539,2
10/20/13,2013,4,L11,1,RB,363,519,2
10/24/13,2013,5,L11,8,RB,313,360,2
10/12/13,2013,2,L15,1,RB,320,412,2
10/24/13,2013,5,L22,3,RB,295,311,2
10/8/13,2013,1,L22,6,RB,299,321,2
10/8/13,2013,1,L27,20,RB,329,433,2
10/12/13,2013,2,L27,4,RB,310,339,2
10/12/13,2013,2,L27,6,RB,306,332,4
10/24/13,2013,5,L06,1,RB,345,452,3
10/8/13,2013,1,L07,12,RB,311,357,2
10/24/13,2013,5,L11,1,RB,292,332,2
10/23/13,2013,5,L09,2,RB,316,351,2
10/8/13,2013,1,L11,9,RB,322,375,2
10/8/13,2013,1,L18,3,RB,369,531,2
10/16/13,2013,3,L22,3,RB,407,641,4
10/7/13,2013,1,L24,2,RB,353,445,3
10/18/13,2013,0,L49,1,RB,328,443,2
10/7/13,2013,1,L28,6,RB,382,610,4
10/16/13,2013,3,L23,4,RB,359,468,2
10/12/13,2013,2,L07,1,RB,420,825,4
10/16/13,2013,3,L07,4,RB,297,301,1
10/11/13,2013,2,L21,1,RB,439,NA,4
10/17/13,2013,0,L31,2,RB,293,270,2
10/18/13,2013,0,L36,1,RB,311,379,2
10/17/13,2013,0,L50,1,RB,393,779,3
10/18/13,2013,0,L36,2,RB,323,340,2
10/18/13,2013,0,L45,1,RB,302,336,2
10/17/13,2013,0,L51,1,RB,393,675,5
10/16/13,2013,3,L27,1,RB,340,424,3
10/20/13,2013,4,L22,4,RB,384,635,4
10/16/13,2013,3,L22,1,RB,308,352,2
10/11/13,2013,2,L01,6,RB,252,175,1
10/19/13,2013,4,L05,1,RB,330,441,3
10/11/13,2013,2,L08,1,RB,272,NA,2
10/15/13,2013,3,L12,2,RB,240,168,1
10/15/13,2013,3,L12,4,RB,243,159,1
10/11/13,2013,2,L12,1,RB,246,159,1
10/15/13,2013,3,L13,1,RB,240,141,1
10/24/13,2013,5,L15,1,RB,351,449,2
10/11/13,2013,2,L16,4,RB,223,NA,1
10/11/13,2013,2,L16,2,RB,240,NA,1
10/15/13,2013,3,L16,1,RB,243,162,1
10/11/13,2013,2,L16,3,RB,246,NA,1
10/19/13,2013,4,L20,2,RB,219,160,1
10/15/13,2013,3,L20,1,RB,221,137,1
10/12/13,2013,2,L22,3,RB,220,108,1
10/19/13,2013,4,L21,2,RB,222,141,1
10/24/13,2013,5,L27,3,RB,418,677,4
10/11/13,2013,2,L28,2,RB,230,NA,1
10/12/13,2013,2,L02,1,RB,222,146,1
10/20/13,2013,4,L06,1,RB,369,556,3
10/19/13,2013,4,L04,1,RB,267,215,1
10/15/13,2013,3,L08,1,RB,291,281,1
10/16/13,2013,3,L10,2,RB,337,447,2
10/24/13,2013,5,L07,1,RB,229,140,1
10/16/13,2013,3,L07,3,RB,232,135,1
10/16/13,2013,3,L07,2,RB,345,424,3
10/16/13,2013,3,L10,1,RB,325,385,4
10/19/13,2013,4,L09,1,RB,296,354,2
10/12/13,2013,2,L11,1,RB,236,157,1
10/20/13,2013,4,L11,5,RB,232,148,1
10/12/13,2013,2,L14,1,RB,254,196,1
10/15/13,2013,3,L16,3,RB,255,199,1
10/20/13,2013,4,L15,1,RB,253,173,1
10/12/13,2013,2,L15,2,RB,220,116,1
10/11/13,2013,2,L20,1,RB,251,NA,1
10/12/13,2013,2,L22,2,RB,375,635,3
10/12/13,2013,2,L19,2,RB,380,642,3
10/15/13,2013,3,L21,3,RB,282,292,2
10/19/13,2013,4,L17,1,RB,235,157,1
10/16/13,2013,3,L19,1,RB,241,148,1
10/12/13,2013,2,L19,1,RB,253,179,1
10/12/13,2013,2,L22,1,RB,257,185,1
10/11/13,2013,2,L21,2,RB,334,NA,2
10/16/13,2013,3,L22,2,RB,253,177,1
10/12/13,2013,2,L23,1,RB,234,143,1
10/12/13,2013,2,L27,2,RB,301,335,2
10/12/13,2013,2,L27,1,RB,330,413,3
10/19/13,2013,4,L25,1,RB,300,307,2
10/23/13,2013,5,L08,1,RB,239,178,1
10/19/13,2013,4,L09,2,RB,293,296,2
10/15/13,2013,3,L09,1,RB,295,284,2
10/15/13,2013,3,L09,3,RB,218,139,1
10/15/13,2013,3,L09,2,RB,230,151,1
10/23/13,2013,5,L09,1,RB,231,147,1
10/12/13,2013,2,L11,2,RB,330,359,2
10/20/13,2013,4,L11,2,RB,366,535,3
10/15/13,2013,3,L12,1,RB,235,139,1
10/23/13,2013,5,L12,1,RB,258,195,1
10/15/13,2013,3,L12,3,RB,229,137,1
10/24/13,2013,5,L11,3,RB,222,136,1
10/19/13,2013,4,L09,3,RB,253,183,1
10/23/13,2013,5,L13,1,RB,354,452,2
10/23/13,2013,5,L16,2,RB,354,456,2
10/15/13,2013,3,L16,2,RB,237,161,1
10/16/13,2013,3,L14,3,RB,260,201,1
10/16/13,2013,3,L15,1,RB,223,137,1
10/23/13,2013,5,L20,4,RB,387,599,4
10/19/13,2013,4,L20,1,RB,312,322,2
10/19/13,2013,4,L20,4,RB,232,159,1
10/15/13,2013,3,L20,2,RB,231,154,1
10/23/13,2013,5,L20,2,RB,229,142,1
10/20/13,2013,4,L22,3,RB,365,562,4
10/15/13,2013,3,L21,1,RB,227,154,1
10/15/13,2013,3,L21,2,RB,229,147,1
10/16/13,2013,3,L23,2,RB,231,139,1
10/23/13,2013,5,L24,1,RB,367,453,3
10/15/13,2013,3,L25,1,RB,239,154,2
10/15/13,2013,3,L28,1,RB,215,115,1
10/24/13,2013,5,L02,1,RB,353,534,3
10/16/13,2013,3,L02,4,RB,269,185,1
10/20/13,2013,4,L07,1,RB,300,322,2
10/20/13,2013,4,L11,4,RB,223,131,1
10/16/13,2013,3,L11,1,RB,330,404,2
10/24/13,2013,5,L11,2,RB,249,181,1
10/20/13,2013,4,L22,1,RB,356,475,2
10/16/13,2013,3,L14,1,RB,315,343,2
10/19/13,2013,4,L16,2,RB,218,121,1
10/16/13,2013,3,L14,2,RB,233,171,1
10/24/13,2013,5,L11,7,RB,233,174,1
10/16/13,2013,3,L19,2,RB,230,140,1
10/16/13,2013,3,L23,1,RB,254,198,1
10/20/13,2013,4,L19,1,RB,213,113,1
10/15/13,2013,3,L20,3,RB,215,109,1
10/19/13,2013,4,L21,3,RB,389,634,3
10/24/13,2013,5,L22,1,RB,356,411,2
10/15/13,2013,3,L24,1,RB,237,137,1
10/16/13,2013,3,L23,3,RB,221,111,1
10/16/13,2013,3,L07,1,RB,358,569,2
10/20/13,2013,4,L18,1,RB,245,194,1
10/19/13,2013,4,L13,2,RB,247,190,1
10/23/13,2013,5,L12,2,RB,269,249,1
10/19/13,2013,4,L16,3,RB,243,151,1
10/19/13,2013,4,L16,1,RB,241,174,1
10/19/13,2013,4,L20,3,RB,233,162,1
10/20/13,2013,4,L10,1,RB,261,229,1
10/24/13,2013,5,L11,4,RB,242,176,1
10/24/13,2013,5,L11,6,RB,250,170,1
10/20/13,2013,4,L11,3,RB,223,151,1
10/19/13,2013,4,L21,1,RB,290,286,2
10/23/13,2013,5,L16,1,RB,206,100,1
10/20/13,2013,4,L19,2,RB,213,110,1
10/23/13,2013,5,L25,2,RB,200,96,1
10/24/13,2013,5,L27,1,RB,374,583,4
10/24/13,2013,5,L27,2,RB,365,425,3
10/18/13,2013,0,L33,1,RB,228,126,1
10/24/13,2013,5,L15,4,RB,213,109,1
10/23/13,2013,5,L20,3,RB,257,204,1
10/24/13,2013,5,L22,2,RB,258,176,1
10/11/13,2013,2,L20,5,RB,243,NA,1
10/19/13,2013,4,L04,2,RB,401,615,4
10/20/13,2013,4,L23,4,RB,213,124,1
10/12/13,2013,2,L11,6,RB,228,154,1
10/12/13,2013,2,L07,7,RB,112,16,0
10/17/13,2013,0,L51,2,RB,416,742,2
10/12/13,2013,2,L11,10,RB,443,924,5
10/17/13,2013,0,L50,2,RB,269,216,1
10/23/13,2013,5,L28,6,RB,242,156,1
10/8/13,2013,1,L22,8,RB,365,541,3
10/11/13,2013,2,L12,3,RB,267,NA,1
10/15/13,2013,3,L08,6,RB,264,211,1
10/12/13,2013,2,L11,4,RB,399,761,4
10/12/13,2013,2,L23,7,RB,193,85,1
10/8/13,2013,1,L27,5,RB,257,199,1
10/7/13,2013,1,L08,3,RB,296,319,2
10/18/13,2013,0,L37,6,RB,230,135,1
10/12/13,2013,2,L06,5,RB,204,89,1
10/17/13,2013,0,L35,2,RB,226,246,1
10/12/13,2013,2,L10,6,RB,333,420,3
10/16/13,2013,3,L23,12,RB,220,115,1
10/20/13,2013,4,L22,6,RB,329,395,2
10/11/13,2013,2,L25,4,RB,243,NA,2
10/16/13,2013,3,L22,8,RB,239,146,1
10/15/13,2013,3,L28,6,RB,200,98,1
10/20/13,2013,4,L23,6,RB,206,99,1
10/18/13,2013,0,L40,1,RB,328,362,2
10/19/13,2013,4,L21,7,RB,226,126,1
10/23/13,2013,5,L21,2,RB,237,153,1
10/11/13,2013,2,L25,2,RB,221,NA,1
10/16/13,2013,3,L22,23,RB,224,126,1
10/16/13,2013,3,L22,13,RB,218,150,1
10/12/13,2013,2,L22,12,RB,358,532,2
10/15/13,2013,3,L12,8,RB,260,205,1
10/12/13,2013,2,L07,6,RB,242,199,1
10/8/13,2013,1,L27,3,RB,332,431,3
10/12/13,2013,2,L06,4,RB,207,112,1
10/17/13,2013,0,L34,15,RB,340,405,3
10/7/13,2013,1,L28,4,RB,380,495,3
10/23/13,2013,5,L12,5,RB,296,291,2
10/7/13,2013,1,L01,2,RB,254,178,1
10/17/13,2013,0,L46,2,RB,387,650,5
10/20/13,2013,4,L23,1,RB,410,691,2
10/20/13,2013,4,L27,5,RB,134,27,0
10/11/13,2013,2,L16,8,RB,252,NA,1
10/11/13,2013,2,L24,4,RB,370,NA,3
10/8/13,2013,1,L10,6,RB,383,617,3
10/23/13,2013,5,L24,3,RB,322,360,2
10/11/13,2013,2,L28,8,RB,390,NA,3
10/15/13,2013,3,L21,6,RB,224,124,1
10/18/13,2013,0,L45,5,RB,226,126,1
10/18/13,2013,0,L33,12,RB,224,123,1
10/8/13,2013,1,L07,4,RB,268,233,1
10/11/13,2013,2,L08,4,RB,259,NA,1
10/12/13,2013,2,L15,5,RB,232,143,1
10/12/13,2013,2,L11,15,RB,252,204,1
10/8/13,2013,1,L23,5,RB,278,224,2
10/12/13,2013,2,L22,23,RB,237,151,1
10/15/13,2013,3,L21,7,RB,217,127,1
10/7/13,2013,1,L20,4,RB,227,141,1
10/20/13,2013,4,L10,2,RB,308,371,2
10/17/13,2013,0,L46,5,RB,208,103,1
10/18/13,2013,0,L32,4,RB,224,141,1
10/12/13,2013,2,L02,5,RB,269,209,1
10/12/13,2013,2,L15,11,RB,262,208,1
10/23/13,2013,5,L13,2,RB,261,191,1
10/8/13,2013,1,L10,7,RB,233,185,1
10/8/13,2013,1,L11,3,RB,262,215,1
10/15/13,2013,3,L12,7,RB,270,249,1
10/18/13,2013,0,L49,9,RB,354,581,2
10/16/13,2013,3,L22,14,RB,356,491,3
10/23/13,2013,5,L21,7,RB,233,163,1
10/17/13,2013,0,L34,4,RB,297,291,2
10/8/13,2013,1,L22,13,RB,230,165,1
10/11/13,2013,2,L01,1,RB,341,476,3
10/8/13,2013,1,L02,7,RB,272,248,1
10/17/13,2013,0,L39,2,RB,208,111,1
10/8/13,2013,1,L07,8,RB,346,450,3
10/11/13,2013,2,L08,3,RB,263,NA,1
10/12/13,2013,2,L27,11,RB,300,299,2
10/24/13,2013,5,L19,2,RB,253,185,1
10/8/13,2013,1,L22,19,RB,356,563,2
10/7/13,2013,1,L08,2,RB,372,567,3
10/17/13,2013,0,L46,1,RB,368,564,3
10/7/13,2013,1,L20,5,RB,259,195,1
10/20/13,2013,4,L23,5,RB,212,114,1
10/16/13,2013,3,L22,10,RB,356,467,3
10/15/13,2013,3,L20,9,RB,105,12,0
10/8/13,2013,1,L27,9,RB,225,155,1
10/8/13,2013,1,L23,3,RB,235,147,1
10/7/13,2013,1,L21,2,RB,237,165,1
10/18/13,2013,0,L36,6,RB,286,291,2
10/23/13,2013,5,L24,2,RB,283,279,2
10/8/13,2013,1,L15,3,RB,257,204,1
10/20/13,2013,4,L22,14,RB,255,195,1
10/24/13,2013,5,L19,4,RB,267,210,1
10/7/13,2013,1,L16,5,RB,392,637,3
10/18/13,2013,0,L48,4,RB,233,186,1
10/16/13,2013,3,L19,5,RB,367,462,3
10/23/13,2013,5,L16,3,RB,258,213,1
10/16/13,2013,3,L27,3,RB,380,560,4
10/18/13,2013,0,L36,10,RB,225,174,1
10/11/13,2013,2,L16,1,RB,275,NA,1
10/8/13,2013,1,L26,4,RB,250,194,1
10/12/13,2013,2,L22,20,RB,288,264,2
10/11/13,2013,2,L21,6,RB,212,NA,1
10/16/13,2013,3,L22,11,RB,340,407,3
10/16/13,2013,3,L27,6,RB,241,174,1
10/18/13,2013,0,L32,6,RB,142,31,0
10/17/13,2013,0,L34,5,RB,400,721,4
10/24/13,2013,5,L22,7,RB,240,171,1
10/12/13,2013,2,L19,3,RB,400,643,3
10/24/13,2013,5,L11,10,RB,243,182,1
10/17/13,2013,0,L50,8,RB,365,445,3
10/18/13,2013,0,L49,5,RB,387,781,4
10/11/13,2013,2,L21,3,RB,367,NA,4
10/19/13,2013,4,L16,5,RB,117,18,0
10/17/13,2013,0,L50,11,RB,275,275,1
10/15/13,2013,3,L16,14,RB,153,40,0
10/17/13,2013,0,L46,4,RB,211,95,1
10/8/13,2013,1,L14,1,RB,256,203,1
10/20/13,2013,4,L07,5,RB,263,235,1
10/18/13,2013,0,L49,4,RB,441,881,5
10/8/13,2013,1,L19,14,RB,233,159,1
10/8/13,2013,1,L11,10,RB,113,23,0
10/7/13,2013,1,L05,3,RB,344,446,3
10/8/13,2013,1,L02,5,RB,228,174,1
10/18/13,2013,0,L32,3,RB,356,395,2
10/18/13,2013,0,L52,11,RB,248,191,1
10/16/13,2013,3,L27,7,RB,215,127,1
10/15/13,2013,3,L21,5,RB,227,126,1
10/8/13,2013,1,L22,15,RB,257,195,1
10/19/13,2013,4,L08,4,RB,292,280,2
10/11/13,2013,2,L28,5,RB,250,NA,1
10/23/13,2013,5,L05,2,RB,272,220,2
10/15/13,2013,3,L16,9,RB,215,121,1
10/23/13,2013,5,L25,3,RB,405,717,4
10/17/13,2013,0,L38,8,RB,248,197,1
10/18/13,2013,0,L33,10,RB,229,142,1
10/8/13,2013,1,L22,11,RB,261,217,1
10/7/13,2013,1,L01,11,RB,251,179,1
10/24/13,2013,5,L14,1,RB,380,611,3
10/18/13,2013,0,L36,7,RB,278,284,1
10/16/13,2013,3,L23,13,RB,235,135,1
10/19/13,2013,4,L21,6,RB,353,481,2
10/24/13,2013,5,L02,3,RB,321,397,2
10/8/13,2013,1,L27,6,RB,278,275,2
10/7/13,2013,1,L16,4,RB,247,190,1
10/8/13,2013,1,L02,4,RB,235,161,1
10/8/13,2013,1,L10,8,RB,265,234,1
10/12/13,2013,2,L14,2,RB,251,179,1
10/12/13,2013,2,L22,11,RB,391,650,3
10/24/13,2013,5,L15,9,RB,228,140,1
