Code,Site_name,Ecosystem,Latitude,Longitude
AND,Andrews Forest LTER,Coniferous Forest,44.212,-122.256
ARC,Arctic LTER,Arctic Tundra,68.633333,-149.606667
BES,Baltimore Ecosystem Study,Urban Ecosystem,39.1,-76.3
BLE,Beaufort Lagoon Ecosystem LTER,Estuary,71.29055,-156.78861
BNZ,Bonanza Creek LTER,Taiga,64.8585,-147.847
CCE,California Current Ecosystem LTER,Marine,32.8736,-120.28
CDR,Cedar Creek Ecosystem Science Reserve,Savanna/Tallgrass Prairie,45.401,-93.201
CAP,Central Arizona - Phoenix LTER,Urban Ecosystem,33.427,-111.933
CWT,Coweeta LTER,Deciduous Forest,35,-83.5
FCE,Florida Coastal Everglades LTER,Freshwater Marsh/Estuary,25.4682,-80.8533
GCE,Georgia Coastal Ecosystems LTER,Salt Marsh/Estuary,31.427,-81.371
HFR,Harvard Forest LTER,Deciduous Forest,42.53,-72.19
HBR,Hubbard Brook LTER,Deciduous Forest,43.94,-71.751
JRN,Jornada Basin LTER,Desert,32.6179,-106.74
KBS,Kellogg Biological Station LTER,Row Crop Agriculture,42.4,-85.4
KNZ,Konza Prairie LTER,Tallgrass Prairie,39.093,-96.575
LUQ,Luquillo LTER,Tropical Rainforest,18.3,-65.8
MCM,McMurdo Dry Valleys LTER,Polar Desert,-77,162.52
MCR,Mo'orea Coral Reef LTER,Coral Reef,-17.4909,-149.826
NWT,Niwot Ridge LTER,Alpine Tundra,39.993,-105.375
NTL,North Temperate Lakes LTER,Temperate Lake,46.0124,-89.672
NES,Northeast U.S. Shelf,Marine,40.6967,-70.8833
NGA,Northern Gulf of Alaska,Subarctic Marine,59.045,-148.7
PAL,Palmer Antarctica LTER,Polar Marine,-64.7742,-64.0545
PIE,Plum Island Ecosystems LTER,Estuary,42.759,-70.891
SBC,Santa Barbara Coastal LTER,Semiarid Coastal and Marine,34.4125,-119.842
SEV,Sevilleta LTER,Desert/Grassland,34.353,-106.882
VCR,Virginia Coast Reserve LTER,Barrier Island/Lagoon,37.283,-75.913